url1,url2,MC NUMBER,legal_name,ISAUTH,US_DOT,url3,telephone,email
https://safer.fmcsa.dot.gov/CompanySnapshot.aspx,https://safer.fmcsa.dot.gov/keywordx.asp?searchstring=%2ASMOOTH+DELIVERY+LLC%2A&SEARCHTYPE=,MC NUMBER,SMOOTH DELIVERY LLC,UNAUTHORIZED,3420529,https://ai.fmcsa.dot.gov/SMS/Carrier/3420529/Overview.aspx?FirstView=True,(614) 377-9122,JABER-K-89@HOTMAIL.COM
https://safer.fmcsa.dot.gov/CompanySnapshot.aspx,https://safer.fmcsa.dot.gov/keywordx.asp?searchstring=%2AHIGHLINE+ENTERPRISES+LLC%2A&SEARCHTYPE=,MC NUMBER,HIGHLINE ENTERPRISES LLC,UNAUTHORIZED,1042065,https://ai.fmcsa.dot.gov/SMS/Carrier/1042065/Overview.aspx?FirstView=True,(406) 291-5747,BRUCE.QUADE@HOTMAIL.COM
https://safer.fmcsa.dot.gov/CompanySnapshot.aspx,https://safer.fmcsa.dot.gov/keywordx.asp?searchstring=%2ACNJ+INSTALLATION+LLC%2A&SEARCHTYPE=,MC NUMBER,CNJ INSTALLATION LLC,UNAUTHORIZED,3006858,https://ai.fmcsa.dot.gov/SMS/Carrier/3006858/Overview.aspx?FirstView=True,(860) 869-2879,CNJBANKS430@GMAIL.COM
https://safer.fmcsa.dot.gov/CompanySnapshot.aspx,https://safer.fmcsa.dot.gov/keywordx.asp?searchstring=%2ALOS+BAYAMESES+TRANSPORT+LLC%2A&SEARCHTYPE=,MC NUMBER,LOS BAYAMESES TRANSPORT LLC,UNAUTHORIZED,3477005,https://ai.fmcsa.dot.gov/SMS/Carrier/3477005/Overview.aspx?FirstView=True,(512) 786-1680,LOSBAYAMESES1513@GMAIL.COM
https://safer.fmcsa.dot.gov/CompanySnapshot.aspx,https://safer.fmcsa.dot.gov/keywordx.asp?searchstring=%2ALONE+STAR+TRANSPORTING+LLC%2A&SEARCHTYPE=,MC NUMBER,LONE STAR TRANSPORTING LLC,UNAUTHORIZED,3680751,https://ai.fmcsa.dot.gov/SMS/Carrier/3680751/Overview.aspx?FirstView=True,(832) 858-4462,DIANA151965@GMAIL.COM
https://safer.fmcsa.dot.gov/CompanySnapshot.aspx,https://safer.fmcsa.dot.gov/keywordx.asp?searchstring=%2ARANGULO%27S+TRUCKING+LLC%2A&SEARCHTYPE=,MC NUMBER,RANGULO'S TRUCKING LLC,UNAUTHORIZED,2942189,https://ai.fmcsa.dot.gov/SMS/Carrier/2942189/Overview.aspx?FirstView=True,(909) 532-3350,RANGULODD15@GMAIL.COM
https://safer.fmcsa.dot.gov/CompanySnapshot.aspx,https://safer.fmcsa.dot.gov/keywordx.asp?searchstring=%2AFOUR+D%27S+TRUCKING+LLC%2A&SEARCHTYPE=,MC NUMBER,FOUR D'S TRUCKING LLC,UNAUTHORIZED,3319877,https://ai.fmcsa.dot.gov/SMS/Carrier/3319877/Overview.aspx?FirstView=True,(954) 588-6189,FOURDSTRUCKING@YAHOO.COM
https://safer.fmcsa.dot.gov/CompanySnapshot.aspx,https://safer.fmcsa.dot.gov/keywordx.asp?searchstring=%2ASKY+THE+LIMIT+TRANSPORT+LLC%2A&SEARCHTYPE=,MC NUMBER,SKY THE LIMIT TRANSPORT LLC,UNAUTHORIZED,3516738,https://ai.fmcsa.dot.gov/SMS/Carrier/3516738/Overview.aspx?FirstView=True,(720) 487-0784,MOHAMED.ABUSHINA@GMAIL.COM
https://safer.fmcsa.dot.gov/CompanySnapshot.aspx,https://safer.fmcsa.dot.gov/keywordx.asp?searchstring=%2AELIAS+TRUCKING+LLC%2A&SEARCHTYPE=,MC NUMBER,ELIAS TRUCKING LLC,UNAUTHORIZED,3544207,https://ai.fmcsa.dot.gov/SMS/Carrier/3544207/Overview.aspx?FirstView=True,(702) 371-5871,ARAYAHANA037@GMAIL.COM
https://safer.fmcsa.dot.gov/CompanySnapshot.aspx,https://safer.fmcsa.dot.gov/keywordx.asp?searchstring=%2AGOTSHALL+LIVESTOCK+%26+HAULING+LLC%2A&SEARCHTYPE=,MC NUMBER,GOTSHALL LIVESTOCK & HAULING LLC,UNAUTHORIZED,3327649,https://ai.fmcsa.dot.gov/SMS/Carrier/3327649/Overview.aspx?FirstView=True,(574) 702-1417,DGOTSHALL17@GMAIL.COM
https://safer.fmcsa.dot.gov/CompanySnapshot.aspx,https://safer.fmcsa.dot.gov/keywordx.asp?searchstring=%2ACLJ+TRANSPORTATION+LLC%2A&SEARCHTYPE=,MC NUMBER,CLJ TRANSPORATION LLC,UNAUTHORIZED,3614835,https://ai.fmcsa.dot.gov/SMS/Carrier/3614835/Overview.aspx?FirstView=True,(863) 812-7688,CLJTRANSPORTATION@YAHOO.COM
https://safer.fmcsa.dot.gov/CompanySnapshot.aspx,https://safer.fmcsa.dot.gov/keywordx.asp?searchstring=%2AWILKINS+TRANSPORTATION%2A&SEARCHTYPE=,MC NUMBER,ANTONIO O WILKINS,UNAUTHORIZED,3544440,https://ai.fmcsa.dot.gov/SMS/Carrier/3544440/Overview.aspx?FirstView=True,(414) 999-6065,WILKINSW2.TW@GMAIL.COM
https://safer.fmcsa.dot.gov/CompanySnapshot.aspx,https://safer.fmcsa.dot.gov/keywordx.asp?searchstring=%2ARUSS+TRUCKING%2A&SEARCHTYPE=,MC NUMBER,BIG RUSS TRUCKING LLC,UNAUTHORIZED,3673833,https://ai.fmcsa.dot.gov/SMS/Carrier/3673833/Overview.aspx?FirstView=True,(757) 567-0923,BISHOPCVRUSSELLJR@GMAIL.COM
https://safer.fmcsa.dot.gov/CompanySnapshot.aspx,https://safer.fmcsa.dot.gov/keywordx.asp?searchstring=%2AA+TO+Z+TRANSPORT+LLC%2A&SEARCHTYPE=,MC NUMBER,A TO Z TRANSPORT LLC,UNAUTHORIZED,2559946,https://ai.fmcsa.dot.gov/SMS/Carrier/2559946/Overview.aspx?FirstView=True,(773) 940-6815,ATOZTRANSPORT17@YAHOO.COM
https://safer.fmcsa.dot.gov/CompanySnapshot.aspx,https://safer.fmcsa.dot.gov/keywordx.asp?searchstring=%2ARIDGE+POINT+FARM+LLC%2A&SEARCHTYPE=,MC NUMBER,RIDGE POINT FARM LLC,UNAUTHORIZED,3544469,https://ai.fmcsa.dot.gov/SMS/Carrier/3544469/Overview.aspx?FirstView=True,(314) 267-6447,RABER237@AOL.COM
https://safer.fmcsa.dot.gov/CompanySnapshot.aspx,https://safer.fmcsa.dot.gov/keywordx.asp?searchstring=%2AEXPRESS+TRUCKING+LLC%2A&SEARCHTYPE=,MC NUMBER,2 BROTHERS EXPRESS TRUCKING LLC,UNAUTHORIZED,3659533,https://ai.fmcsa.dot.gov/SMS/Carrier/3659533/Overview.aspx?FirstView=True,(202) 674-4084,RANDYLSULLIVAN67@GMAIL.COM
https://safer.fmcsa.dot.gov/CompanySnapshot.aspx,https://safer.fmcsa.dot.gov/keywordx.asp?searchstring=%2ACAM+HVAC+%26+CONSTRUCTION+INC%2A&SEARCHTYPE=,MC NUMBER,CAM HVAC & CONSTRUCTION INC,UNAUTHORIZED,1007754,https://ai.fmcsa.dot.gov/SMS/Carrier/1007754/Overview.aspx?FirstView=True,,
https://safer.fmcsa.dot.gov/CompanySnapshot.aspx,https://safer.fmcsa.dot.gov/keywordx.asp?searchstring=%2AWADE+TRUCKING+LLC%2A&SEARCHTYPE=,MC NUMBER,ALLISTER WADE TRUCKING LLC,UNAUTHORIZED,3630877,https://ai.fmcsa.dot.gov/SMS/Carrier/3630877/Overview.aspx?FirstView=True,(662) 633-8874,WADEALLISTER@YAHOO.COM
https://safer.fmcsa.dot.gov/CompanySnapshot.aspx,https://safer.fmcsa.dot.gov/keywordx.asp?searchstring=%2AROAD+PHOENIX+TRANSPORTATION+LLC%2A&SEARCHTYPE=,MC NUMBER,ROAD PHOENIX TRANSPORTATION LLC,UNAUTHORIZED,3640881,https://ai.fmcsa.dot.gov/SMS/Carrier/3640881/Overview.aspx?FirstView=True,(813) 471-8322,ROADPHOENIXTRANSPORTATIONLLC@GMAIL.COM
https://safer.fmcsa.dot.gov/CompanySnapshot.aspx,https://safer.fmcsa.dot.gov/keywordx.asp?searchstring=%2AROCKIN+BAR+J+TRANSPORT+LLC%2A&SEARCHTYPE=,MC NUMBER,JEREMY JANSEN,UNAUTHORIZED,3115015,https://ai.fmcsa.dot.gov/SMS/Carrier/3115015/Overview.aspx?FirstView=True,(712) 229-5462,JEREMYJANSEN23@GMAIL.COM
https://safer.fmcsa.dot.gov/CompanySnapshot.aspx,https://safer.fmcsa.dot.gov/keywordx.asp?searchstring=%2AHAGERMAN+ENTERPRISE+LLC%2A&SEARCHTYPE=,MC NUMBER,THEODORE ROOSEVELT HAGERMAN,UNAUTHORIZED,1681561,https://ai.fmcsa.dot.gov/SMS/Carrier/1681561/Overview.aspx?FirstView=True,,
https://safer.fmcsa.dot.gov/CompanySnapshot.aspx,https://safer.fmcsa.dot.gov/keywordx.asp?searchstring=%2AHEAVY+HITTERS+HAULING+LLC%2A&SEARCHTYPE=,MC NUMBER,HEAVY HITTERS HAULING LLC,UNAUTHORIZED,2139795,https://ai.fmcsa.dot.gov/SMS/Carrier/2139795/Overview.aspx?FirstView=True,(678) 387-9218,TTEK2017@GMAIL.COM
https://safer.fmcsa.dot.gov/CompanySnapshot.aspx,https://safer.fmcsa.dot.gov/keywordx.asp?searchstring=%2AMIKE+TRUCKING+LLC%2A&SEARCHTYPE=,MC NUMBER,DYNAMIKE TRUCKING LLC,UNAUTHORIZED,3261679,https://ai.fmcsa.dot.gov/SMS/Carrier/3261679/Overview.aspx?FirstView=True,(704) 299-4911,DYNAMIKETRUCKING@GMAIL.COM
https://safer.fmcsa.dot.gov/CompanySnapshot.aspx,https://safer.fmcsa.dot.gov/keywordx.asp?searchstring=%2AILLUSTRIOUS+CAPITAL%2A&SEARCHTYPE=,MC NUMBER,ILLUSTRIOUS CAPITAL,UNAUTHORIZED,3407227,https://ai.fmcsa.dot.gov/SMS/Carrier/3407227/Overview.aspx?FirstView=True,(213) 800-4931,DELVIN.HALE@GMAIL.COM
https://safer.fmcsa.dot.gov/CompanySnapshot.aspx,https://safer.fmcsa.dot.gov/keywordx.asp?searchstring=%2AMITCHELL%27S+MOVERS%2A&SEARCHTYPE=,MC NUMBER,TRAVON MITCHELL,UNAUTHORIZED,2530447,https://ai.fmcsa.dot.gov/SMS/Carrier/2530447/Overview.aspx?FirstView=True,(804) 920-0646,MITCHMOVERS@GMAIL.COM
https://safer.fmcsa.dot.gov/CompanySnapshot.aspx,https://safer.fmcsa.dot.gov/keywordx.asp?searchstring=%2AEBENEZER+TRANSPORT+LLC%2A&SEARCHTYPE=,MC NUMBER,EBENEZER TRANSPORT LLC,UNAUTHORIZED,3640202,https://ai.fmcsa.dot.gov/SMS/Carrier/3640202/Overview.aspx?FirstView=True,(609) 431-2648,XAVIERGONZALEZ183@GMAIL.COM
https://safer.fmcsa.dot.gov/CompanySnapshot.aspx,https://safer.fmcsa.dot.gov/keywordx.asp?searchstring=%2ADOUMI+TRUCKING+LLC%2A&SEARCHTYPE=,MC NUMBER,DOUMI TRUCKING LLC,UNAUTHORIZED,3089053,https://ai.fmcsa.dot.gov/SMS/Carrier/3089053/Overview.aspx?FirstView=True,(305) 440-8173,DOUGLASMART75@HOTMAIL.COM
https://safer.fmcsa.dot.gov/CompanySnapshot.aspx,https://safer.fmcsa.dot.gov/keywordx.asp?searchstring=%2AHARVEST+VIEW+FARMS+INC%2A&SEARCHTYPE=,MC NUMBER,HARVEST VIEW FARMS INC,UNAUTHORIZED,3229309,https://ai.fmcsa.dot.gov/SMS/Carrier/3229309/Overview.aspx?FirstView=True,,
https://safer.fmcsa.dot.gov/CompanySnapshot.aspx,https://safer.fmcsa.dot.gov/keywordx.asp?searchstring=%2AA+TO+Z+LOGISTICS+LLC%2A&SEARCHTYPE=,MC NUMBER,A TO Z LOGISTICS LLC,UNAUTHORIZED,2187505,https://ai.fmcsa.dot.gov/SMS/Carrier/2187505/Overview.aspx?FirstView=True,,
https://safer.fmcsa.dot.gov/CompanySnapshot.aspx,https://safer.fmcsa.dot.gov/keywordx.asp?searchstring=%2AMSC+TRANSPORT+LLC%2A&SEARCHTYPE=,MC NUMBER,MMSC TRANSPORT LLC,UNAUTHORIZED,3527690,https://ai.fmcsa.dot.gov/SMS/Carrier/3527690/Overview.aspx?FirstView=True,(812) 272-5877,MMSCTRANSPORT@GMAIL.COM
https://safer.fmcsa.dot.gov/CompanySnapshot.aspx,https://safer.fmcsa.dot.gov/keywordx.asp?searchstring=%2AKMH+TRANSPORTATION+LLC%2A&SEARCHTYPE=,MC NUMBER,BKMH TRANSPORTATION LLC,UNAUTHORIZED,3635108,https://ai.fmcsa.dot.gov/SMS/Carrier/3635108/Overview.aspx?FirstView=True,(786) 265-8147,BRINEEHAMILTON@BKMHTRANSPORTATION.COM
https://safer.fmcsa.dot.gov/CompanySnapshot.aspx,https://safer.fmcsa.dot.gov/keywordx.asp?searchstring=%2AMUNOZ+TOWING+AND+TRANSPORTATION+LLC%2A&SEARCHTYPE=,MC NUMBER,MUNOZ TOWING AND TRANSPORTATION LLC,UNAUTHORIZED,3349031,https://ai.fmcsa.dot.gov/SMS/Carrier/3349031/Overview.aspx?FirstView=True,(717) 954-9154,GREGOTECH623@GMAIL.COM
https://safer.fmcsa.dot.gov/CompanySnapshot.aspx,https://safer.fmcsa.dot.gov/keywordx.asp?searchstring=%2AGTA+TRANSPORTATION+LLC%2A&SEARCHTYPE=,MC NUMBER,GTA TRANSPORTATION LLC,UNAUTHORIZED,2988022,https://ai.fmcsa.dot.gov/SMS/Carrier/2988022/Overview.aspx?FirstView=True,(503) 847-1005,REVASINS@YAHOO.COM
https://safer.fmcsa.dot.gov/CompanySnapshot.aspx,https://safer.fmcsa.dot.gov/keywordx.asp?searchstring=%2APNG+LOGISTICS+LLC%2A&SEARCHTYPE=,MC NUMBER,NPNG LOGISTICS LLC,UNAUTHORIZED,3576440,https://ai.fmcsa.dot.gov/SMS/Carrier/3576440/Overview.aspx?FirstView=True,(347) 760-8909,NLOG.LLC@GMAIL.COM
https://safer.fmcsa.dot.gov/CompanySnapshot.aspx,https://safer.fmcsa.dot.gov/keywordx.asp?searchstring=%2AVALENTINE%27S+TRUCKING+LLC%2A&SEARCHTYPE=,MC NUMBER,VALENTINE'S TRUCKING LLC,UNAUTHORIZED,2388698,https://ai.fmcsa.dot.gov/SMS/Carrier/2388698/Overview.aspx?FirstView=True,(323) 448-5913,EVALENTIN3@GMAIL.COM
https://safer.fmcsa.dot.gov/CompanySnapshot.aspx,https://safer.fmcsa.dot.gov/keywordx.asp?searchstring=%2AMC+EXPRESS+TRANSPORT+LLC%2A&SEARCHTYPE=,MC NUMBER,MC EXPRESS TRANSPORT LLC,UNAUTHORIZED,2539159,https://ai.fmcsa.dot.gov/SMS/Carrier/2539159/Overview.aspx?FirstView=True,(315) 730-5481,MCEXPRESSTRANSPORT@YAHOO.COM
https://safer.fmcsa.dot.gov/CompanySnapshot.aspx,https://safer.fmcsa.dot.gov/keywordx.asp?searchstring=%2AIPV+TRANSPORT+LLC%2A&SEARCHTYPE=,MC NUMBER,IPV TRANSPORT LLC,UNAUTHORIZED,3619104,https://ai.fmcsa.dot.gov/SMS/Carrier/3619104/Overview.aspx?FirstView=True,(210) 987-7096,COMPLIANCE@PERSONALTRUCKSERVICES.COM
https://safer.fmcsa.dot.gov/CompanySnapshot.aspx,https://safer.fmcsa.dot.gov/keywordx.asp?searchstring=%2ATM+CUSTOMS+LLC%2A&SEARCHTYPE=,MC NUMBER,TM CUSTOMS LLC,UNAUTHORIZED,3286368,https://ai.fmcsa.dot.gov/SMS/Carrier/3286368/Overview.aspx?FirstView=True,(208) 317-4045,MORGANRO2077@GMAIL.COM
https://safer.fmcsa.dot.gov/CompanySnapshot.aspx,https://safer.fmcsa.dot.gov/keywordx.asp?searchstring=%2AJJARKINGS+LOGISTICS+EXPRESS+LLC%2A&SEARCHTYPE=,MC NUMBER,JJARKINGS LOGISTICS EXPRESS LLC,UNAUTHORIZED,3165819,https://ai.fmcsa.dot.gov/SMS/Carrier/3165819/Overview.aspx?FirstView=True,(310) 462-1831,JJARQUIN360@GMAIL.COM
https://safer.fmcsa.dot.gov/CompanySnapshot.aspx,https://safer.fmcsa.dot.gov/keywordx.asp?searchstring=%2AJASON+J+TRUCKING+INC%2A&SEARCHTYPE=,MC NUMBER,JASON J TRUCKING INC,UNAUTHORIZED,3084125,https://ai.fmcsa.dot.gov/SMS/Carrier/3084125/Overview.aspx?FirstView=True,(510) 710-1738,JASONJTRUCKINGINC@MAIL.COM
https://safer.fmcsa.dot.gov/CompanySnapshot.aspx,https://safer.fmcsa.dot.gov/keywordx.asp?searchstring=%2APRESTIGE+TRUCKING+LLC%2A&SEARCHTYPE=,MC NUMBER,BANKS PRESTIGE TRUCKING LLC,UNAUTHORIZED,3489892,https://ai.fmcsa.dot.gov/SMS/Carrier/3489892/Overview.aspx?FirstView=True,(734) 210-2693,BANKSPRESTIGETRUCKING@GMAIL.COM
https://safer.fmcsa.dot.gov/CompanySnapshot.aspx,https://safer.fmcsa.dot.gov/keywordx.asp?searchstring=%2AGOLDMAN%27S+TRUCKING+LLC%2A&SEARCHTYPE=,MC NUMBER,GOLDMAN TRUCKING,UNAUTHORIZED,978688,https://ai.fmcsa.dot.gov/SMS/Carrier/978688/Overview.aspx?FirstView=True,(970) 576-5462,GLDMNT@HOTMAIL.COM
https://safer.fmcsa.dot.gov/CompanySnapshot.aspx,https://safer.fmcsa.dot.gov/keywordx.asp?searchstring=%2AVC%27S+SUPPLY%2A&SEARCHTYPE=,MC NUMBER,VC'S SUPPLY,UNAUTHORIZED,3611597,https://ai.fmcsa.dot.gov/SMS/Carrier/3611597/Overview.aspx?FirstView=True,(805) 507-5561,T00NVIBIN29@GMAIL.COM
https://safer.fmcsa.dot.gov/CompanySnapshot.aspx,https://safer.fmcsa.dot.gov/keywordx.asp?searchstring=%2ADANNY+E+BECK%2A&SEARCHTYPE=,MC NUMBER,D&H TRUCKING,UNAUTHORIZED,3600357,https://ai.fmcsa.dot.gov/SMS/Carrier/3600357/Overview.aspx?FirstView=True,(334) 368-8073,HEATHERBECK38@GMAIL.COM
https://safer.fmcsa.dot.gov/CompanySnapshot.aspx,https://safer.fmcsa.dot.gov/keywordx.asp?searchstring=%2AMANNELITETRUCKING+INC%2A&SEARCHTYPE=,MC NUMBER,MANNELITETRUCKING INC,UNAUTHORIZED,3025033,https://ai.fmcsa.dot.gov/SMS/Carrier/3025033/Overview.aspx?FirstView=True,(925) 577-1171,MANNELITETRUCKING@GMAIL.COM
https://safer.fmcsa.dot.gov/CompanySnapshot.aspx,https://safer.fmcsa.dot.gov/keywordx.asp?searchstring=%2AFRANCO%27S+SERVICES+LLC%2A&SEARCHTYPE=,MC NUMBER,FRANCO'S SERVICES LLC,UNAUTHORIZED,2523992,https://ai.fmcsa.dot.gov/SMS/Carrier/2523992/Overview.aspx?FirstView=True,(203) 441-2170,FRANCOSERVICESLLC@YAHOO.COM
https://safer.fmcsa.dot.gov/CompanySnapshot.aspx,https://safer.fmcsa.dot.gov/keywordx.asp?searchstring=%2AHOOKED+UP+TOWING+AND+RECOVERY+LLC%2A&SEARCHTYPE=,MC NUMBER,HOOKED UP TOWING AND RECOVERY LLC,UNAUTHORIZED,2442574,https://ai.fmcsa.dot.gov/SMS/Carrier/2442574/Overview.aspx?FirstView=True,(631) 676-3010,
https://safer.fmcsa.dot.gov/CompanySnapshot.aspx,https://safer.fmcsa.dot.gov/keywordx.asp?searchstring=%2AA%2D1+PIPE+CLEANING+COMPANY+INC%2A&SEARCHTYPE=,MC NUMBER,A-1 PIPE CLEANING COMPANY INC,UNAUTHORIZED,1543298,https://ai.fmcsa.dot.gov/SMS/Carrier/1543298/Overview.aspx?FirstView=True,,
https://safer.fmcsa.dot.gov/CompanySnapshot.aspx,https://safer.fmcsa.dot.gov/keywordx.asp?searchstring=%2AS2N+TRUCKING+LLC%2A&SEARCHTYPE=,MC NUMBER,S2N TRUCKING LLC,UNAUTHORIZED,3479780,https://ai.fmcsa.dot.gov/SMS/Carrier/3479780/Overview.aspx?FirstView=True,(940) 456-3950,JUBE.WALKER@OUTLOOK.COM
https://safer.fmcsa.dot.gov/CompanySnapshot.aspx,https://safer.fmcsa.dot.gov/keywordx.asp?searchstring=%2ALAL+LOGISTICS+LLC%2A&SEARCHTYPE=,MC NUMBER,BILAL LOGISTICS LLC,UNAUTHORIZED,2524739,https://ai.fmcsa.dot.gov/SMS/Carrier/2524739/Overview.aspx?FirstView=True,(507) 202-9367,FARIIDSALAH@GMAIL.COM
https://safer.fmcsa.dot.gov/CompanySnapshot.aspx,https://safer.fmcsa.dot.gov/keywordx.asp?searchstring=%2AURBAN+EXPRESS+TRANSPORTATION+INC%2A&SEARCHTYPE=,MC NUMBER,URBAN EXPRESS TRANSPORTATION INC,UNAUTHORIZED,3208705,https://ai.fmcsa.dot.gov/SMS/Carrier/3208705/Overview.aspx?FirstView=True,(704) 612-0184,TPAYNE@URBANEXPRESSTRANSPORTATION.COM
https://safer.fmcsa.dot.gov/CompanySnapshot.aspx,https://safer.fmcsa.dot.gov/keywordx.asp?searchstring=%2AMEN%2DGAR+LOGISTICS+LLC%2A&SEARCHTYPE=,MC NUMBER,MEN-GAR LOGISTICS LLC,UNAUTHORIZED,2590567,https://ai.fmcsa.dot.gov/SMS/Carrier/2590567/Overview.aspx?FirstView=True,(210) 460-9700,ALGARZAM@MENGARLOGISTICS.COM
https://safer.fmcsa.dot.gov/CompanySnapshot.aspx,https://safer.fmcsa.dot.gov/keywordx.asp?searchstring=%2AALMADA%27S+TRUCKING+LLC%2A&SEARCHTYPE=,MC NUMBER,ALMADA'S TRUCKING LLC,UNAUTHORIZED,3512872,https://ai.fmcsa.dot.gov/SMS/Carrier/3512872/Overview.aspx?FirstView=True,(510) 856-7346,ALEX_Z10@GMAIL.COM
https://safer.fmcsa.dot.gov/CompanySnapshot.aspx,https://safer.fmcsa.dot.gov/keywordx.asp?searchstring=%2ASAFARI+TRANSPORTATION+LLC%2A&SEARCHTYPE=,MC NUMBER,SAFARI TRANSPORTATION LLC,UNAUTHORIZED,3346262,https://ai.fmcsa.dot.gov/SMS/Carrier/3346262/Overview.aspx?FirstView=True,(336) 392-4753,CWILLIAMS798743@GMAIL.COM
https://safer.fmcsa.dot.gov/CompanySnapshot.aspx,https://safer.fmcsa.dot.gov/keywordx.asp?searchstring=%2ALJ+LOGISTIC+LLC%2A&SEARCHTYPE=,MC NUMBER,LJ LOGISTIC LLC,UNAUTHORIZED,3331296,https://ai.fmcsa.dot.gov/SMS/Carrier/3331296/Overview.aspx?FirstView=True,(813) 438-9354,JORGE_DURAN24@YAHOO.COM
https://safer.fmcsa.dot.gov/CompanySnapshot.aspx,https://safer.fmcsa.dot.gov/keywordx.asp?searchstring=%2APASCO+LOGISTICS+LLC%2A&SEARCHTYPE=,MC NUMBER,PASCO LOGISTICS LLC,UNAUTHORIZED,3525162,https://ai.fmcsa.dot.gov/SMS/Carrier/3525162/Overview.aspx?FirstView=True,(347) 595-2647,PASCOLOGISTICSLLC@GMAIL.COM
